customer_id,first_name,last_name,email,phone,city,signup_date,age,gender,total_trips,cancelled_trips,days_since_last_trip,churned,engagement_score,loyalty_score,persona,signup_channel,income_level,payment_method,device_type,trips_30d,completed_trips_30d,cancelled_trips_30d,total_fare_30d,avg_fare_30d,total_distance_30d,avg_duration_30d,promo_used_trips_30d,last_trip_date,recency_days,app_open,ride_completed,ride_request,search,total_events_30d,promos_redeemed_30d,promo_cost_30d,avg_discount_value_30d
CUST00000,Adrian,Walker,adrian.walker@gmail.com,020 7946 0251,London,2024-04-27,19,Other,63,7,20,0,1.0,0.994,Tourist,Ads,high,Debit Card,iOS,3.0,3.0,0.0,37.86,12.62,16.900000000000002,18.666666666666668,0.0,2025-11-18 19:10:00,2.0,19,4,5,10,38,0.0,0.0,0.0
CUST00001,Tony,Jones,tony.jones@hotmail.co.uk,+441164960985,London,2023-10-01,61,Other,52,0,44,0,1.0,0.925,Business,Partnership,high,Credit Card,iOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,4,7,14,45,0.0,0.0,0.0
CUST00002,Lynn,Carter,lynn.carter@outlook.com,+44(0)20 7496 0628,London,2025-01-22,31,Male,47,1,4,0,1.0,0.894,Business,Ads,high,Cash,iOS,4.0,3.0,1.0,54.202000000000005,13.550500000000001,30.23,21.175,1.0,2025-11-19 17:36:00,1.0,7,2,2,4,15,1.0,6.6,12.28
CUST00003,Marcelo,Madrigal,marcelo.madrigal@hotmail.com,+34987 210 730,Barcelona,2025-03-01,55,Female,44,3,7,0,1.0,0.875,Business,Ads,low,Cash,Android,2.0,2.0,0.0,23.29,11.645,14.82,40.4,0.0,2025-11-05 16:01:00,15.0,23,9,9,17,58,0.0,0.0,0.0
CUST00004,Faye,Strik,faye.strik@hotmail.com,086 1284110,Amsterdam,2025-09-13,27,Male,30,2,33,0,1.0,0.787,Tourist,Referral,medium,Credit Card,Android,9.0,7.0,2.0,103.99199999999999,11.554666666666666,64.25,24.744444444444444,0.0,2025-11-15 18:25:00,5.0,24,8,11,15,58,0.0,0.0,0.0
CUST00005,Geraldine,Browne,geraldine.browne@yahoo.co.uk,028 9018 0855,London,2024-01-05,40,Female,31,3,1,0,1.0,0.794,Tourist,Referral,high,Cash,Web,2.0,2.0,0.0,43.620000000000005,21.810000000000002,17.24,17.35,0.0,2025-11-14 10:01:00,6.0,16,5,8,10,39,0.0,0.0,0.0
CUST00006,Shannon,Farrell,shannon.farrell@gmail.com,+441314960355,London,2024-10-30,42,Male,45,5,12,0,1.0,0.881,Tourist,Organic,high,Debit Card,Web,4.0,3.0,1.0,36.29,9.0725,31.200000000000003,29.05,0.0,2025-11-18 07:25:00,2.0,6,2,4,5,17,0.0,0.0,0.0
CUST00007,Lydia,Davis,lydia.davis@yahoo.com,+44115 496 0058,London,2024-06-20,20,Other,50,0,52,0,1.0,0.912,Commuter,Organic,high,Credit Card,iOS,3.0,3.0,0.0,47.67,15.89,26.41,20.933333333333334,2.0,2025-11-16 19:41:00,4.0,13,2,6,5,26,0.0,0.0,0.0
CUST00008,Melanie,Brown,melanie.brown@hotmail.co.uk,+441134960036,London,2024-06-08,42,Female,58,5,4,0,1.0,0.962,Casual Rider,Organic,high,Debit Card,Android,3.0,3.0,0.0,75.7,25.233333333333334,17.76,29.5,1.0,2025-11-06 22:48:00,14.0,21,2,8,11,42,1.0,8.21,13.24
CUST00009,Casper,Heijmans,casper.heijmans@hotmail.com,098 1669370,Amsterdam,2025-01-12,31,Other,20,3,49,1,1.0,0.719,Tourist,Referral,medium,Debit Card,Web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11,6,5,8,30,0.0,0.0,0.0
CUST00010,Hannah,Losekann,hannah.losekann@gmail.com,05231 31803,Berlin,2025-04-28,28,Female,45,2,6,0,1.0,0.881,Casual Rider,Organic,medium,Debit Card,Web,9.0,7.0,2.0,122.92,13.657777777777778,69.67,26.799999999999997,5.0,2025-11-20 18:07:00,0.0,6,4,2,2,14,1.0,41.8,12.28
CUST00011,Liz,van Brenen,liz.van brenen@hotmail.com,+31(0)787 574914,Amsterdam,2024-01-06,67,Male,38,2,17,0,1.0,0.837,Commuter,Referral,medium,Digital Wallet,Android,2.0,1.0,1.0,20.464,10.232,19.86,26.45,0.0,2025-11-06 07:09:00,14.0,20,7,3,11,41,0.0,0.0,0.0
CUST00012,Jente,Romijn,jente.romijn@hotmail.com,+3174 0792328,Amsterdam,2025-02-11,22,Male,33,0,37,0,1.0,0.806,Tourist,Ads,medium,Cash,Android,5.0,5.0,0.0,45.4,9.08,27.53,19.7,2.0,2025-11-18 12:15:00,2.0,24,10,11,14,59,1.0,7.31,12.28
CUST00013,Vicenta,Beltran,vicenta.beltran@gmail.com,+34822 052 981,Barcelona,2024-05-12,27,Female,44,5,1,0,1.0,0.875,Commuter,Ads,low,Digital Wallet,Web,1.0,1.0,0.0,8.54,8.54,4.3,5.7,0.0,2025-10-28 17:05:00,23.0,19,6,6,11,42,0.0,0.0,0.0
CUST00014,Antonia,Bazzi,antonia.bazzi@virgilio.it,+39 3891408418,Milan,2025-09-28,45,Other,36,2,1,0,1.0,0.825,Casual Rider,Organic,medium,Debit Card,iOS,13.0,11.0,2.0,158.136,12.164307692307691,97.08,22.023076923076925,0.0,2025-11-16 15:12:00,4.0,26,3,11,15,55,0.0,0.0,0.0
CUST00015,Ferdinando,Bonolis,ferdinando.bonolis@vodafone.it,+39 3817277329,Milan,2023-05-13,49,Male,42,6,22,0,1.0,0.863,Business,Referral,medium,Debit Card,Web,2.0,2.0,0.0,30.53,15.265,16.93,36.400000000000006,1.0,2025-11-19 17:51:00,1.0,11,2,1,7,21,0.0,0.0,0.0
